,sbj_ID,rec_id,msgs,fixations,morph_type,lst_type,target,preview,sentence,boundary_index,sentence_len,boundary_shift,pre_target,post_target,type,TextBlock,adjusted_seq,trial_issue,noshorts_seq,nolongs_seq,cleaned_seq,trial_id,GD_all,FFD_all,GPD_all,FoM_all,GD_noshortfixs,FFD_noshortfixs,GPD_noshortfixs,FoM_noshortfixs,GD_nolongfixs,FFD_nolongfixs,GPD_nolongfixs,FoM_nolongfixs,GD_cleanedfixs,FFD_cleanedfixs,GPD_cleanedfixs,FoM_cleanedfixs,trial_type
0,3,14,"['trial 1 start', 'trial 1 end']","FixationSequence[Fixation[318,544], ..., Fixation[1361,546]]",complex,1,sensitive,sensitive,The Arctic Ocean is more X to changes in climate.,24,57,-256.0,The Arctic Ocean is more , to changes in climate.,trial,TextBlock[The Arctic Ocean ...],"FixationSequence[Fixation[318,534], ..., Fixation[1361,534]]",N,"FixationSequence[Fixation[318,534], ..., Fixation[1361,534]]","FixationSequence[Fixation[318,534], ..., Fixation[1361,534]]","FixationSequence[Fixation[318,534], ..., Fixation[1361,534]]",1.0,289.0,289.0,289.0,,289.0,289.0,289.0,,289.0,289.0,289.0,,289.0,289.0,289.0,,identical
1,3,15,"['trial 2 start', 'trial 2 end']","FixationSequence[Fixation[318,541], ..., Fixation[1562,538]]",complex,2,signals,signals,He continued to display X on the side of the field to motivate players.,23,77,-272.0,He continued to display , on the side of the field to motivate players.,trial,TextBlock[He continued to d...],"FixationSequence[Fixation[318,534], ..., Fixation[1562,534]]",N,"FixationSequence[Fixation[318,534], ..., Fixation[1562,534]]","FixationSequence[Fixation[318,534], ..., Fixation[1562,534]]","FixationSequence[Fixation[318,534], ..., Fixation[1562,534]]",2.0,412.0,412.0,412.0,,412.0,412.0,412.0,,412.0,412.0,412.0,,412.0,412.0,412.0,,identical
2,3,19,"['trial 3 start', 'trial 3 end']","FixationSequence[Fixation[328,528], ..., Fixation[1516,535]]",simple,1,genius,genius,He has a certain X matched by his sympathy for all kinds of behaviour.,16,75,-384.0,He has a certain , matched by his sympathy for all kinds of behaviour.,trial,TextBlock[He has a certain ...],"FixationSequence[Fixation[328,534], ..., Fixation[1516,534]]",N,"FixationSequence[Fixation[328,534], ..., Fixation[1516,534]]","FixationSequence[Fixation[328,534], ..., Fixation[1516,534]]","FixationSequence[Fixation[328,534], ..., Fixation[1516,534]]",3.0,273.0,273.0,273.0,,273.0,273.0,273.0,,273.0,273.0,273.0,,273.0,273.0,273.0,,identical
3,3,20,"['trial 4 start', 'trial 4 end']","FixationSequence[Fixation[306,543], ..., Fixation[1490,538]]",complex,2,luxurious,luxurious,Sasha definitely had X tastes when it came to desserts.,20,63,-320.0,Sasha definitely had , tastes when it came to desserts.,trial,TextBlock[Sasha definitely ...],"FixationSequence[Fixation[306,534], ..., Fixation[1490,534]]",N,"FixationSequence[Fixation[306,534], ..., Fixation[1490,534]]","FixationSequence[Fixation[306,534], ..., Fixation[1490,534]]","FixationSequence[Fixation[306,534], ..., Fixation[1490,534]]",4.0,339.0,339.0,853.0,,339.0,339.0,853.0,,339.0,339.0,853.0,,339.0,339.0,853.0,,identical
4,3,21,"['trial 5 start', 'trial 5 end']","FixationSequence[Fixation[324,547], ..., Fixation[1544,524]]",complex,3,romantics,rolantice,All of those X out there believe that her lover married her.,12,68,-448.0,All of those , out there believe that her lover married her.,trial,TextBlock[All of those roma...],"FixationSequence[Fixation[324,534], ..., Fixation[1544,534]]",N,"FixationSequence[Fixation[324,534], ..., Fixation[1544,534]]","FixationSequence[Fixation[324,534], ..., Fixation[1544,534]]","FixationSequence[Fixation[324,534], ..., Fixation[1544,534]]",5.0,492.0,267.0,492.0,267.0,492.0,267.0,492.0,267.0,492.0,267.0,492.0,267.0,492.0,267.0,492.0,267.0,legal_nonword
5,3,22,"['trial 6 start', 'trial 6 end']","FixationSequence[Fixation[324,552], ..., Fixation[1346,540]]",complex,3,gracious,grazioso,My mother was always X with her house guests.,20,52,-320.0,My mother was always , with her house guests.,trial,TextBlock[My mother was alw...],"FixationSequence[Fixation[324,534], ..., Fixation[1346,534]]",N,"FixationSequence[Fixation[324,534], ..., Fixation[1346,534]]","FixationSequence[Fixation[324,534], ..., Fixation[1346,534]]","FixationSequence[Fixation[324,534], ..., Fixation[1346,534]]",6.0,461.0,461.0,461.0,,461.0,461.0,461.0,,461.0,461.0,461.0,,461.0,461.0,461.0,,cognate
6,3,23,"['trial 7 start', 'trial 7 end']","FixationSequence[Fixation[322,554], ..., Fixation[1488,533]]",complex,3,firmness,filodesa,She detected an unusual X during a routine examination.,23,62,-272.0,She detected an unusual , during a routine examination.,trial,TextBlock[She detected an u...],"FixationSequence[Fixation[322,534], ..., Fixation[1488,534]]",N,"FixationSequence[Fixation[322,534], ..., Fixation[1488,534]]","FixationSequence[Fixation[420,534], ..., Fixation[1488,534]]","FixationSequence[Fixation[420,534], ..., Fixation[1488,534]]",7.0,888.0,338.0,888.0,338.0,888.0,338.0,888.0,338.0,888.0,338.0,888.0,338.0,888.0,338.0,888.0,338.0,legal_nonword
7,3,24,"['trial 8 start', 'trial 8 end']","FixationSequence[Fixation[326,522], ..., Fixation[1204,544]]",simple,4,hygiene,dzvjfcp,You need good X in the operating room.,13,44,-432.0,You need good , in the operating room.,trial,TextBlock[You need good hyg...],"FixationSequence[Fixation[326,534], ..., Fixation[1204,534]]",N,"FixationSequence[Fixation[326,534], ..., Fixation[1204,534]]","FixationSequence[Fixation[326,534], ..., Fixation[1204,534]]","FixationSequence[Fixation[326,534], ..., Fixation[1204,534]]",8.0,339.0,339.0,1533.0,,339.0,339.0,1533.0,,339.0,339.0,1533.0,,339.0,339.0,1533.0,,illegal_nonword
8,3,25,"['trial 9 start', 'trial 9 end']","FixationSequence[Fixation[323,563], ..., Fixation[1482,523]]",complex,2,eruption,eruption,They are prepared for a potential X whenever it may come.,33,64,-112.0,They are prepared for a potential , whenever it may come.,trial,TextBlock[They are prepared...],"FixationSequence[Fixation[323,534], ..., Fixation[1482,534]]",N,"FixationSequence[Fixation[323,534], ..., Fixation[1482,534]]","FixationSequence[Fixation[323,534], ..., Fixation[1482,534]]","FixationSequence[Fixation[323,534], ..., Fixation[1482,534]]",9.0,283.0,283.0,283.0,,283.0,283.0,283.0,,283.0,283.0,283.0,,283.0,283.0,283.0,,identical
9,3,26,"['trial 10 start', 'trial 10 end']","FixationSequence[Fixation[320,532], ..., Fixation[1350,527]]",simple,1,sphere,sphere,After a while their X of influence started to increase.,19,60,-336.0,After a while their , of influence started to increase.,trial,TextBlock[After a while the...],"FixationSequence[Fixation[320,534], ..., Fixation[1350,534]]",N,"FixationSequence[Fixation[320,534], ..., Fixation[1350,534]]","FixationSequence[Fixation[320,534], ..., Fixation[1350,534]]","FixationSequence[Fixation[320,534], ..., Fixation[1350,534]]",10.0,473.0,473.0,1546.0,,473.0,473.0,1546.0,,473.0,473.0,1546.0,,473.0,473.0,1546.0,,identical
