index,morph_type,affix_onset_indice,LD,Italian,English,Legal_non,LD: Eng vs nonword,illegal_nonword,sentence1,sentence2
1,simple,,5,cambio,change,platro,5,qdzljy,Looks like more X than anyone expected at the beginning of the project.,I don't think there has been any huge X in its use.
2,simple,,4,esempio,example,enomtre,4,ynbhrzv,It has also shown them a true X of how to fight back against wars. ,From the previous X we saw how cards can pass into other parts of the deck.
3,simple,,2,genio,genius,galius,2,tvkxmh,He has a certain X matched by his sympathy for all kinds of human behaviour.,What about those hidden X characters who don't work hard but succeed anyway?
4,simple,,2,orrore,horror,gopror,2,mgdkzq,"Yes we all have X stories, don't we?",Think of it like a typical X film: the monster's been defeated.
5,simple,,3,ibrido,hybrid,nobred,3,tslwxg,The most recent X cars are even more fuel-efficient.,I invented X bicycles because the planet needed our help.
6,simple,,2,igiene,hygiene,hagione,2,dzvjfcp,They put inside X items for the earthquake victims.,You need good X if you're going to succeed at the interview.
7,simple,,3,isola,island,impind,3,yrbgqh,The beauty of this X is one of the best and memorable experiences.,Our little X of personal space is our table in the restaurant.
8,simple,,3,lattuga,lettuce,loctune,3,bvqsyzf,Only some X and corn would grow its unwelcoming soil.,This trick will keep your X for your salad fresh all week long.
9,simple,,2,maratona,marathon,paratron,2,vfcgszwk,This year's X is only about the experience.,The important thing during X training is not to run too quickly.
10,simple,,2,molecola,molecule,malevule,2,phdtsnfv,Even a single X remaining is incredibly unlikely.,For the journey every X will be reused in this perfectly sustainable spaceship.
11,simple,,3,montagna,mountain,moaprain,3,qslzwyfr,Reducing some of this X of paper would be nice.,After this one there will be another X for us to climb before the end of our quest.
12,simple,,4,nipote,nephew,geplar,4,xkrvmy,Tom was a great X but he only liked to eat chocolate.,Only a special X would agree to help his uncle for a year.
13,simple,,5,narice,nostril,dintrac,5,zwygmqv,From the opposing X the water will run out and into the sink.,In his right X there was a little circular piercing.
14,simple,,4,pagaia,paddle,pombre,4,jxnhvr,We looked for the midding X all day but couldn't find it.,Only one old blue X was left in the boat when they checked.
15,simple,,3,pacco,parcel,ractel,3,hfjmwt,There was a large X on her doorstep when she got home.,Actually that particular X contained the books he has ordered.
16,simple,,3,placca,plaque,primue,3,brjtsd,Choosing the right X to buy however is not quite easy.,The best way to remove X from between your teeth is brushing them well.
17,simple,,3,plotone,platoon,plutian,3,ybrkhdv,Those in the first X were the ones who get hurt the worst.,Our entire X went through training runs together every morning.
18,simple,,3,profeta,prophet,troglet,3,wzsyxcn,No other X before him had managed to unite them like he did.,He found the young X at the back of the church.
19,simple,,3,recluta,recruit,rotrait,3,xzmdnbq,His favourite X was a tall muscular boy named Peter.,In fact the newest X was failing his exams.
20,simple,,4,risorsa,resource,meloirca,4,jylbkndg,It's an amazing X for young students interested in biology.,The course is based on X management to combat global warning.
21,simple,,4,ritmo,rhythm,photch,4,kjxgqs,It has a real X that you can easily dance to.,Suddendly a great X was began on the drums.
22,simple,,3,scuola,school,stroal,3,zyntdg,"Linda always disliked X, especially when it was sunny outside.",With so much X work to do they didn't have time to travel much.
23,simple,,3,sfera,sphere,sploro,3,vgqmxl,At home their X of influence drew them all in.,In the room there was a light X resting on a pillow.
24,simple,,1,spinaci,spinach,slinact,2,gfvtxwb,The look of the green X didn't appeal to him at all.,Finally seven X plates were brought to the table.
25,simple,,4,spugna,sponge,plande,4,qmxhkc,A square X sat on the side of the kitchen sink.,This natural X is exactly what you need to clean your house.
26,simple,,3,sorpresa,surprise,sartrine,3,vbqjyzch,I hope your X isn't going to spoiled.,John could always X Jane on their anniversary.
27,simple,,3,sinagoga,synagogue,sonagopie,3,lzcrjhwfx,Wow this X has the most beautiful exterior.,Like every other X you can't go inside with uncovered shoulders.
28,simple,,2,teorema,theorem,chearem,2,wnbpjdc,It's becoming X proving which is not for the everyday mind.,It's a solid X despite how long it took for us to prove it.
29,simple,,2,trono,throne,chrope,2,sbzvlm,The wooden X for the queen sat at the head of the table.,After he got the X of England he had six wives.
30,simple,,4,tromba,trumpet,flumben,4,ljxwfdv,Unfortunately that X was broken during the concert.,It think that the fourth X is out of tune.
