index,English,sentence,pre_target,comprehension_statement,TRUE/FALSE
1,change,Looks like more X than anyone expected at the beginning of the project.,Looks like more ,This change wasn't planned.,T
2,example,It has shown them a true X of how to fight back against wars. ,It has shown them a true ,It's an example for farming.,F
3,genius,He has a certain X matched by his sympathy for all kinds of behaviour.,He has a certain ,The person is intelligent.,T
4,horror,"We all have interesting X stories we can tell, don't we?",We all have interesting ,Everyone is boring.,F
5,hybrid,The most recent X cars are even more fuel-efficient.,The most recent ,Hybrid cars are better.,T
6,hygiene,They put inside X items for the earthquake victims.,They put inside ,The items are for tornado victims.,F
7,island,The beauty of this amazing X is one of my best memories.,The beauty of this amazing ,The island was very nice.,T
8,lettuce,To their frustration only some X and corn would grow in this poor soil.,To their frustration only some ,They were happy.,F
9,marathon,He missed the previous X and the one before that because of an injury.,He missed the previous ,He missed two races.,T
10,molecule,Even a single X remaining is incredibly unlikely.,Even a single ,The statement will probably happen.,F
11,mountain,Reducing some of this X of paper would be nice.,Reducing some of this ,There's a lot of paper.,T
12,nephew,This time his wonderful X was there for Ben during his breakdown.,This time his wonderful ,The person was called Frank.,F
13,nostril,From the opposing X the water will run out and into the sink.,From the opposing ,The liquid in the sentence is water.,T
14,paddle,We looked for the missing X all day but couldn't find it.,We looked for the missing ,They lost a pen.,F
15,parcel,There was a large X on her doorstep when she got home.,There was a large ,The person returned home.,T
16,plaque,Choosing the right X to buy is not quite easy.,Choosing the right ,The action is very easy.,F
17,platoon,Those in the first X were the ones who get hurt the worst.,Those in the first ,The second platoon gets hurt less.,T
18,prophet,In centuries no other X had managed to unite them as he did.,In centuries no other ,The last prophet was better.,F
19,recruit,His recent favourite X was a tall muscular boy named Peter.,His recent favourite ,Peter is strong.,T
20,resource,It's an amazing X for young students interested in biology.,It's an amazing ,It's not very helpful to students.,F
21,rhythm,It has a real X that you can easily dance to.,It has a real ,You can't understand the rhythm easily.,T
22,school,Linda always disliked X when it was sunny outside.,Linda always disliked ,The person is the sentence is Lucy.,F
23,sphere,At home their X of influence drew them all in.,At home their ,This sentence talks about a home.,T
24,spinach,The look of the brownish X didn't appeal to him at all.,The look of the brownish ,The food looked very tasty.,F
25,sponge,A large square X sat on the side of the kitchen sink.,A large square ,The sponge was quite big.,T
26,surprise,I hope your X isn't going to be spoiled.,I hope your ,This sentence talks about construction.,F
27,synagogue,No doubt this X has the most beautiful exterior.,No doubt this ,The building mentionned is a synagogue.,T
28,theorem,This is an impossible X for us to prove in a traditional way.,This is an impossible ,You can prove the theory easily.,F
29,throne,The small wooden X for the prince sat at the head of his table.,The small wooden ,The seat is for a prince.,T
30,trumpet,A badly broken X lay in the middle of the deserted stage.,A badly broken ,The instrument is ready to be played.,F
31,vehicle,It's definitely a great X for a large family.,It's definitely a great ,This talks about a big family.,T
32,yellow,Yesterday he declared X alerts for several areas.,Yesterday he declared ,Red alerts were announced.,F
33,romantics,He always criticised X who weren't thinking clearly.,He always criticised ,These people aren't logical.,T
34,sanity,Let's bring some X back into this debate.,Let's bring some ,The debate is going well.,F
35,acidity,You can increase X by adding lemon juice to the mixture.,You can increase ,Lemon juice can be used.,T
36,audible,It was almost X how excited she was at the news.,It was almost ,She was silent.,F
37,density,We're at the right X to not float away into space.,We're at the right ,We stay here because of density.,T
38,furious,Brian was clearly X about the grade he got for his final exam.,Brian was clearly ,Brian was happy.,F
39,nervous,With an increasingly X energy she ran faster and faster.,With an increasingly ,The person is not feeling well.,T
40,signals,He continued to display X on the side of the field to motivate players.,He continued to display ,The signals were in the middle of the field.,F
41,soloist,The only X in the orchestra was a violin player.,The only ,This talks about a musician.,T
42,zealous,Some people are more X than others at church.,Some people are more ,Those people don't care.,F
43,bandages,There were clean X left on the floor of the hospital.,There were clean ,It was bandages on the floor.,T
44,eruption,Witnessing a sudden X is both scary and exciting.,Witnessing a sudden ,This isn't very interesting.,F
45,firmness,He showed the same X with his children as with his soldiers.,He showed the same ,He had a lot of authority.,T
46,fortress,She told us about the black X on a hill above all the land.,She told us about the black ,The fortress was white.,F
47,genetics,Due to your particular X you have an increased risk of cancer.,Due to your particular ,You should worry about cancer.,T
48,glorious,We really have X weather today with this sun.,We really have ,The sun is too bright.,F
49,gracious,My mother was always X with her house guests.,My mother was always ,The mother is nice to visitors.,T
50,pianists,She wanted three X in the concert but only two arrived.,She wanted three ,Three violinists were needed.,F
51,sculptor,Charles was the only X to have understood what I wanted.,Charles was the only ,I like Charles.,T
52,violence,If you promote X then it might be used on you too.,If you promote ,Violence is sometimes the answer.,F
53,dignified,We need to develop X human rights laws for refugees.,We need to develop ,This is about legal matters.,T
54,greatness,Make your way towards X by pushing yourself to be better.,Make your way towards ,You were born to be great.,F
55,sensitive,The Arctic Ocean is more X to changes in climate.,The Arctic Ocean is more ,The climate can change the Arctic Ocean quickly.,T
56,vigilance,I appreciate your ongoing X in getting the truth out there.,I appreciate your ongoing ,The person doesn't like what's happening.,F
57,european,Half of the recent X car sales are reported to be electric cars.,Half of the recent ,Electric cars are being sold.,T
58,historic,What an excitingly X setting for the last race of the season.,What an excitingly ,The last race of the season is going to be uninteresting.,F
59,humidity,I think higher X feels worse than having higher temperatures.,I think higher ,High humitidy is terrible.,T
60,jealousy,They displayed a certain X over Audrey's sudden freedom.,They displayed a certain ,They celebrated Audrey's freedom.,F
