index,morph_type,lst_type,target,preview,sentence
1,simple,1,change,change,Looks like more X than anyone expected at the beginning of the project.
2,simple,2,example,example,It has shown them a true X of how to fight back against wars. 
3,simple,3,genius,genio ,He has a certain X matched by his sympathy for all kinds of behaviour.
4,simple,4,horror,orrore,"We all have interesting X stories we can tell, don't we?"
5,simple,1,hybrid,hybrid,The most recent X cars are even more fuel-efficient.
6,simple,2,hygiene,hygiene,The bags contained X items for the earthquake victims.
7,simple,3,island,isola ,The beauty of this amazing X is one of my best memories.
8,simple,4,lettuce,lattuga,To their frustration only some X and corn would grow in this poor soil.
9,simple,1,marathon,marathon,He missed the previous X and the one before that because of an injury.
10,simple,2,molecule,molecule,Even a solitary X remaining is incredibly unlikely.
11,simple,3,mountain,montagna,Reducing some of this X of paper would be nice.
12,simple,4,nephew,nipote,This time his wonderful X was there for Ben during his breakdown.
13,simple,1,nostril,nostril,I bought an electric X groomer from the same store.
14,simple,2,paddle,paddle,We looked for the missing X all day but couldn't find it.
15,simple,3,parcel,pacco ,There was a large X on her doorstep when she got home.
16,simple,4,plaque,placca,Choosing the right X to buy is not quite easy.
17,simple,1,platoon,platoon,Those in the first X were the ones who get hurt the worst.
18,simple,2,prophet,prophet,In centuries no other X had managed to unite them as he did.
19,simple,3,recruit,recluta,His recent favourite X was a tall muscular boy named Peter.
20,simple,4,resource,risorsa ,It's an amazing X for young students interested in biology.
21,simple,1,rhythm,rhythm,It has a real X that you can easily dance to.
22,simple,2,school,school,Linda always disliked X when it was sunny outside.
23,simple,3,sphere,sfera ,After a while their X of influence started to increase.
24,simple,4,spinach,spinaci,The look of the brownish X didn't appeal to him at all.
25,simple,1,sponge,sponge,A large square X sat on the side of the kitchen sink.
26,simple,2,surprise,surprise,I hope your X isn't going to be spoiled.
27,simple,3,synagogue,sinagoga ,No doubt this X has the most beautiful exterior.
28,simple,4,theorem,teorema,This is an impossible X for us to prove in a traditional way.
29,simple,1,throne,throne,The small purple X for the prince sat at the head of his table.
30,simple,2,trumpet,trumpet,A badly broken X lay in the middle of the deserted stage.
31,simple,3,vehicle,veicolo,It's definitely a great X for a large family.
32,simple,4,yellow,giallo,Yesterday he declared X alerts for several areas.
33,complex,1,romantics,romantics,He always criticized X when he couldn’t express his own feelings.
34,complex,2,sanity,sanity,Let's bring some X back into this debate.
35,complex,3,acidity,acidità,You can increase X by adding lemon juice to the mixture.
36,complex,4,audible,udibile,It was almost X how excited she was at the news.
37,complex,1,density,density,Our bodies are the right X not to float away into space.
38,complex,2,furious,furious,Brian was clearly X about the grade he got for his final exam.
39,complex,3,nervous,nervoso,With an unexpected X energy she ran faster and faster.
40,complex,4,signals,segnali,He continued to display X on the side of the field to motivate players.
41,complex,1,soloist,soloist,That evening the only X in the orchestra was a violin player.
42,complex,2,zealous,zealous,Some people are more X than others at church.
43,complex,3,bandages,bendaggi,There were clean X left on the floor of the hospital.
44,complex,4,eruption,eruzione,They are prepared for a potential X whenever it may come.
45,complex,1,firmness,firmness,He showed the same X with his children as with his soldiers.
46,complex,2,fortress,fortress,She told us about the black X on a hill above all the land.
47,complex,3,genetics,genetica,Due to your particular X you have an increased risk of cancer.
48,complex,4,glorious,gloriosa,We really have X weather today with this sun.
49,complex,1,gracious,gracious,My mother was always X with her house guests.
50,complex,2,pianists,pianists,She wanted three X in the concert but only two arrived.
51,complex,3,sculptor,scultore,Charles was the only X to have understood what I wanted.
52,complex,4,violence,violenza,If you promote X then it might be used on you too.
53,complex,1,dignified,dignified,We need to develop X human rights laws for refugees.
54,complex,2,greatness,greatness,Make your way towards X by pushing yourself to be better.
55,complex,3,sensitive,sensibile,The Arctic Ocean is more X to changes in climate.
