index,English,sentence,pre_target
1,change,Looks like more X than anyone expected at the beginning of the project.,Looks like more 
2,example,It has shown them a true X of how to fight back against wars. ,It has shown them a true 
3,genius,He has a certain X matched by his sympathy for all kinds of behaviour.,He has a certain 
4,horror,"We all have interesting X stories we can tell, don't we?",We all have interesting 
5,hybrid,The most recent X cars are even more fuel-efficient.,The most recent 
6,hygiene,They put inside X items for the earthquake victims.,They put inside 
7,island,The beauty of this amazing X is one of my best memories.,The beauty of this amazing 
8,lettuce,To their frustration only some X and corn would grow in this poor soil.,To their frustration only some 
9,marathon,He missed the previous X and the one before that because of an injury.,He missed the previous 
10,molecule,Even a single X remaining is incredibly unlikely.,Even a single 
11,mountain,Reducing some of this X of paper would be nice.,Reducing some of this 
12,nephew,This time his wonderful X was there for Ben during his breakdown.,This time his wonderful 
13,nostril,From the opposing X the water will run out and into the sink.,From the opposing 
14,paddle,We looked for the missing X all day but couldn't find it.,We looked for the missing 
15,parcel,There was a large X on her doorstep when she got home.,There was a large 
16,plaque,Choosing the right X to buy is not quite easy.,Choosing the right 
17,platoon,Those in the first X were the ones who get hurt the worst.,Those in the first 
18,prophet,In centuries no other X had managed to unite them as he did.,In centuries no other 
19,recruit,His recent favourite X was a tall muscular boy named Peter.,His recent favourite 
20,resource,It's an amazing X for young students interested in biology.,It's an amazing 
21,rhythm,It has a real X that you can easily dance to.,It has a real 
22,school,Linda always disliked X when it was sunny outside.,Linda always disliked 
23,sphere,At home their X of influence drew them all in.,At home their 
24,spinach,The look of the brownish X didn't appeal to him at all.,The look of the brownish 
25,sponge,A large square X sat on the side of the kitchen sink.,A large square 
26,surprise,I hope your X isn't going to be spoiled.,I hope your 
27,synagogue,No doubt this X has the most beautiful exterior.,No doubt this 
28,theorem,This is an impossible X for us to prove in a traditional way.,This is an impossible 
29,throne,The small wooden X for the prince sat at the head of his table.,The small wooden 
30,trumpet,A badly broken X lay in the middle of the deserted stage.,A badly broken 
31,vehicle,It's definitely a great X for a large family.,It's definitely a great 
32,yellow,Yesterday he declared X alerts for several areas.,Yesterday he declared 
33,romantics,He always criticised X around him who couldn't think clearly.,He always criticised 
34,sanity,Let's bring some X back into this debate.,Let's bring some 
35,acidity,You can increase X by adding lemon juice to the mixture.,You can increase 
36,audible,It was almost X how excited she was at the news.,It was almost 
37,density,We're at the right X to not float away into space.,We're at the right 
38,furious,Brian was clearly X about the grade he got for his final exam.,Brian was clearly 
39,nervous,With an increasingly X energy she ran faster and faster.,With an increasingly 
40,signals,He continued to display X on the side of the field to motivate players.,He continued to display 
41,soloist,The only X in the orchestra was a violin player.,The only 
42,zealous,Some people are more X than others at church.,Some people are more 
43,bandages,There were clean X left on the floor of the hospital.,There were clean 
44,eruption,Witnessing a sudden X is both scary and exciting.,Witnessing a sudden 
45,firmness,He showed the same X with his children as with his soldiers.,He showed the same 
46,fortress,She told us about the black X on a hill above all the land.,She told us about the black 
47,genetics,Due to your particular X you have an increased risk of cancer.,Due to your particular 
48,glorious,We really have X weather today with this sun.,We really have 
49,gracious,My mother was always X with her house guests.,My mother was always 
50,pianists,She wanted three X in the concert but only two arrived.,She wanted three 
51,sculptor,Charles was the only X to have understood what I wanted.,Charles was the only 
52,violence,If you promote X then it might be used on you too.,If you promote 
53,dignified,We need to develop X human rights laws for refugees.,We need to develop 
54,greatness,Make your way towards X by pushing yourself to be better.,Make your way towards 
55,sensitive,The Arctic Ocean is more X to changes in climate.,The Arctic Ocean is more 
56,vigilance,I appreciate your ongoing X in getting the truth out there.,I appreciate your ongoing 
57,european,Half of the recent X car sales are reported to be electric cars.,Half of the recent 
58,historic,What an excitingly X setting for the last race of the season.,What an excitingly 
59,humidity,I think higher X feels worse than having higher temperatures.,I think higher 
60,jealousy,They displayed a certain X over Audrey's sudden freedom.,They displayed a certain 
61,northern,It's located between X Spain and the south of France.,It's located between 
62,vastness,The snowy white X of the North Pole makes it difficult to survive.,The snowy white 
63,asthmatic,He quickly became X and had trouble breathing.,He quickly became 
64,luxurious,Sasha definitely had X tastes when it came to desserts.,Sasha definitely had 
65,change,There has been no huge X in its use in the last decade.,There has been no huge 
66,example,We must consider the previous X of collaboration between the two labs.,We must consider the previous 
67,genius,She is one of those X characters who don't work hard but succeed anyway.,She is one of those 
68,horror,Think of it as a typical X film where the monsters end up defeated.,Think of it as a typical 
69,hybrid,I invented X bicycles because the planet needed our help.,I invented 
70,hygiene,You need good X if you're going to succeed at the interview.,You need good 
71,island,Our own little X of personal space is our table in the restaurant.,Our own little 
72,lettuce,This will keep your X fresh and crunchy all week long.,This will keep your 
73,marathon,The important thing during X training is not to run too quickly.,The important thing during 
74,molecule,For the journey every X will be reused in this sustainable spaceship.,For the journey every 
75,mountain,After this one there will be another X before the end of our quest.,After this one there will be another 
76,nephew,Only a special X would agree to help his uncle for a year.,Only a special 
77,nostril,In the right X there was a little circular piercing.,In the right 
78,paddle,Only one old blue X was left in the boat when they checked.,Only one old blue 
79,parcel,Jane recognised the bright X containing the books she had ordered.,Jane recognised the bright 
80,plaque,The best way to eliminate X between your teeth is brushing them well.,The best way to eliminate 
