index,morph_type,target,cognate,legal_non,illegal_non,sentence1,sentence2
1,simple,change,cambio,plagro,qdzljy,Looks like more X than anyone expected at the beginning of the project.,There has been no huge X in its use in the last decade.
2,simple,example,esempio,enamert,ynbhrzv,It has shown them a true X of how to fight back against wars. ,We must consider the previous X of collaboration between the two labs.
3,simple,genius,genio ,ganis ,tvkxmh,He has a certain X matched by his sympathy for all kinds of behaviour.,She is one of those X characters who don't work hard but succeed anyway.
4,simple,horror,orrore,orpora,mgdkzq,"We all have interesting X stories we can tell, don't we?",Think of it as a typical X film where the monsters end up defeated.
5,simple,hybrid,ibrido,nobred,tslwxg,The most recent X cars are even more fuel-efficient.,I invented X bicycles because the planet needed our help.
6,simple,hygiene,igiene ,agiene ,dzvjfcp,They put inside X items for the earthquake victims.,You need good X if you're going to succeed at the interview.
7,simple,island,isola ,ipand ,yrbgqh,The beauty of this amazing X is one of my best memories.,Our own little X of personal space is our table in the restaurant.
8,simple,lettuce,lattuga,loctune,bvqsyzf,To their frustration only some X and corn would grow in this poor soil.,This will keep your X fresh and crunchy all week long.
9,simple,marathon,maratona,paratron,vfcgszwk,He missed the previous X and the one before that because of an injury.,The important thing during X training is not to run too quickly.
10,simple,molecule,molecola,maledule,phdtsnfv,Even a single X remaining is incredibly unlikely.,For the journey every X will be reused in this sustainable spaceship.
11,simple,mountain,montagna,moaprain,qslzwyfr,Reducing some of this X of paper would be nice.,After this one there will be another X before the end of our quest.
12,simple,nephew,nipote,nopete,xkrvmy,This time his wonderful X was there for Ben during his breakdown.,Only a special X would agree to help his uncle for a year.
13,simple,nostril,narice ,nitiro ,zwygmqv,From the opposing X the water will run out and into the sink.,In the right X there was a little circular piercing.
14,simple,paddle,pagaia,pombre,jxnhvr,We looked for the missing X all day but couldn't find it.,Only one old blue X was left in the boat when they checked.
15,simple,parcel,pacco ,capel ,hfjmwt,There was a large X on her doorstep when she got home.,Jane recognised the bright X containing the books she had ordered.
16,simple,plaque,placca,primue,brjtsd,Choosing the right X to buy is not quite easy.,The best way to eliminate X between your teeth is brushing them well.
17,simple,platoon,plotone,plutian,ybrkhdv,Those in the first X were the ones who get hurt the worst.,Last summer our entire X went through training runs every morning.
18,simple,prophet,profeta,troglet,wzsyxcn,In centuries no other X had managed to unite them as he did.,He found the young X at the back of the church.
19,simple,recruit,recluta,rotrait,xzmdnbq,His recent favourite X was a tall muscular boy named Peter.,It looked like the newest X was going to fail his exams.
20,simple,resource,risorsa ,selorca ,jylbkndg,It's an amazing X for young students interested in biology.,The course introduces X management to combat global warning.
21,simple,rhythm,ritmo ,romto ,kjxgqs,It has a real X that you can easily dance to.,He found a good X in the second quarter and scored thirty points.
22,simple,school,scuola,oscolo,zyntdg,Linda always disliked X when it was sunny outside.,With so much X work to do they didn't have time to travel much.
23,simple,sphere,sfera ,spora ,vgqmxl,At home their X of influence drew them all in.,Inside there was a light X resting on a pillow.
24,simple,spinach,spinaci,slinaco,gfvtxwb,The look of the brownish X didn't appeal to him at all.,After a short wait seven X bowls were brought to the table.
25,simple,sponge,spugna,plande,qmxhkc,A large square X sat on the side of the kitchen sink.,This type of natural X is exactly what you need to clean your house.
26,simple,surprise,sorpresa,sartrine,vbqjyzch,I hope your X isn't going to be spoiled.,John could always X Jane on their anniversary.
27,simple,synagogue,sinagoga ,sonacoge ,lzcrjhwfx,No doubt this X has the most beautiful exterior.,You may expect every X to be different in some way.
28,simple,theorem,teorema,cheorea,wnbpjdc,This is an impossible X for us to prove in a traditional way.,It is a solid X now despite the time it took to prove it.
29,simple,throne,trono ,torne ,sbzvlm,The small wooden X for the prince sat at the head of his table.,Matthew dashed into the crowded X room with the pineapple.
30,simple,trumpet,tromba ,prembe ,ljxwfdv,A badly broken X lay in the middle of the deserted stage.,You shall be a fearless X of truth and a voice of godly influence.
31,simple,vehicle,veicolo,venacre,pyjmgqd,It's definitely a great X for a large family.,Yesterday I saw another X on that street in the middle of the day.
32,simple,yellow,giallo,gollia,vmfqhk,Yesterday he declared X alerts for several areas.,There were large X plates on the table for the main course.
33,complex,romantics,romantici,rolantice,pvswfkdtb,He always criticised X who weren't thinking clearly.,All of those X out there believe that her lover married her.
34,complex,sanity,sanità,manitu,rvxghd,Let's bring some X back into this debate.,Any hope of a future X depended on our willingness to listen.
35,complex,acidity,acidità,agidito,lhxzfjb,You can increase X by adding lemon juice to the mixture.,Some slight additional X can always improve the taste.
36,complex,audible,udibile,aifible,zpngfvj,It was almost X how excited she was at the news.,The dog is definitely X when he spots a cat down the street.
37,complex,density,densità,donsiti,rfmcbvj,We're at the right X to not float away into space.,We need the right X of reflective bits to decrease solar radiation.
38,complex,furious,furioso,farinus,wlxdhty,Brian was clearly X about the grade he got for his final exam.,I'm still incredibly X that I wasn't invited to the birthday party.
39,complex,nervous,nervoso,neprous,mwcyqdg,With an increasingly X energy she ran faster and faster.,She was especially X before the test since she hadn't studied.
40,complex,signals,segnali,sibnalo,mdhvcrk,He continued to display X on the side of the field to motivate players.,Maybe some of those X aren't coming from outer space.
41,complex,soloist,solista,saloiso,rbgvhkf,The only X in the orchestra was a violin player.,Jessica was a former X for the national orchestra in Paris.
42,complex,zealous,zelante,teamosi,mjkpvgw,Some people are more X than others at church.,Max was a little X at first when talking to strangers.
43,complex,bandages,bendaggi,bagnades,hkyqmfrp,There were clean X left on the floor of the hospital.,Please change your X every two days for it to heal.
44,complex,eruption,eruzione,ecaptian,yhsdcqjk,Witnessing a sudden X is both scary and exciting.,A completely unexpected X from the moka sprayed coffee on the walls.
45,complex,firmness,fermezza,filodesa,btjwqdyl,He showed the same X with his children as with his soldiers.,She detected an unusual X during a routine examination.
46,complex,fortress,fortezza,firtesco,ydnxklgm,She told us about the black X on a hill above all the land.,John had made a personal X of his library and was a private scholar.
47,complex,genetics,genetica,gedetici,jwxmbryz,Due to your particular X you have an increased risk of cancer.,That is partly about X and partly about how you were raised.
48,complex,glorious,gloriosa,groritus,qnvyzfkt,We really have X weather today with this sun.,He would have been truly X as a king in his prime.
49,complex,gracious,grazioso,crapinus,vkmlyhjw,My mother was always X with her house guests.,While still sounding X and complimenting his employees he resigned.
50,complex,pianists,pianisti,peaniste,zhwvjlmx,She wanted three X in the concert but only two arrived.,It's impressive how effortlessly X improvise when playing jazz.
51,complex,sculptor,scultore,snuletor,jzghxmfq,Charles was the only X to have understood what I wanted.,A very controversial X designed this piece last year.
52,complex,violence,violenza,vielerce,qfxghkjr,If you promote X then it might be used on you too.,Let's talk about X in a home environment between parents.
53,complex,dignified,dignitoso,dinnisito,lpxqhcvkm,We need to develop X human rights laws for refugees.,He doesn't deserve a graceful X exit after what he's done.
54,complex,greatness,grandezza,grentieno,wxlmhfyvk,Make your way towards X by pushing yourself to be better.,George is exceptional at seeing X in someone young and training them.
55,complex,sensitive,sensibile,sessipive,qhgrxzpcw,The Arctic Ocean is more X to changes in climate.,There’s a possibility X data has been transmitted to scammers.
56,complex,vigilance,vigilanza,vagilasce,krmwsbpyj,I appreciate your ongoing X in getting the truth out there.,He needs to maintain X on the task at hand to avoid making mistakes.
57,complex,european,europeo ,erropea ,gkmlcdht,Half of the recent X car sales are reported to be electric cars.,That's a very X point of view on recycling.
58,complex,historic,storico ,miscori ,jznbvpdw,What an excitingly X setting for the last race of the season.,For this potentially X event to occur we need genuine cooperation.
59,complex,humidity,umidità ,umiditi ,zrbncpfg,I think higher X feels worse than having higher temperatures.,Try to maintain the right X and temperature to prevent spoiling.
60,complex,jealousy,gelosia ,fialoti ,fmdwqrzt,They displayed a certain X over Audrey's sudden freedom.,A touch of friendly X mixed with pleasure is how we talk to them.
61,complex,northern,nordico ,nirtego ,qsxpzmbk,It's located between X Spain and the south of France.,This is the great X tradition of coffee breaks called fika.
62,complex,vastness,vastità ,virteso ,hfgpmwyx,The snowy white X of the North Pole makes it difficult to survive.,She dreamt about green X filled with sweeping winds and fishing boats.
63,complex,asthmatic,asmatico ,ostamati ,xvbwkgqly,He quickly became X and had trouble breathing.,Children often experience X attacks as a result of tobacco smoke.
64,complex,luxurious,lussuoso ,lupritta ,tpchgfdjk,Sasha definitely had X tastes when it came to desserts.,They were moved to relatively X quarters when they complained.
