index,English,sentence,X_pos,full_sentence,len,collocation_text,COCA_count,COCA_fpmw,COCA_Zipf
1,change,Looks like more X than anyone expected at the beginning of the project.,17,Looks like more change than anyone expected at the beginning of the project.,76,more change,202,201.675,2.305
2,example,It has shown them a true X of how to fight back against wars. ,26,It has shown them a true example of how to fight back against wars. ,68,true example,30,29.952,1.476
3,genius,He has a certain X matched by his sympathy for all kinds of behaviour.,18,He has a certain genius matched by his sympathy for all kinds of behaviour.,75,certain genius,16,15.974,1.203
4,horror,"We all have interesting X stories we can tell, don't we?",25,"We all have interesting horror stories we can tell, don't we?",61,interesting horror,4,3.994,0.601
5,hybrid,The most recent X cars are even more fuel-efficient.,17,The most recent hybrid cars are even more fuel-efficient.,57,recent hybrid,3,2.995,0.476
6,hygiene,They put inside X items for the earthquake victims.,17,They put inside hygiene items for the earthquake victims.,57,inside hygiene,0,0.000,
7,island,The beauty of this amazing X is one of my best memories.,28,The beauty of this amazing island is one of my best memories.,61,amazing island,1,0.998,-0.001
8,lettuce,To their frustration only some X and corn would grow in this poor soil.,32,To their frustration only some lettuce and corn would grow in this poor soil.,77,some lettuce,47,46.924,1.671
9,marathon,He missed the previous X and the one before that because of an injury.,24,He missed the previous marathon and the one before that because of an injury.,77,previous marathon,3,2.995,0.476
10,molecule,Even a single X remaining is incredibly unlikely.,15,Even a single molecule remaining is incredibly unlikely.,56,single molecule,131,130.789,2.117
11,mountain,Reducing some of this X of paper would be nice.,23,Reducing some of this mountain of paper would be nice.,54,this mountain,725,723.834,2.860
12,nephew,This time his wonderful X was there for Ben during his breakdown.,25,This time his wonderful nephew was there for Ben during his breakdown.,70,wonderful nephew,1,0.998,-0.001
13,nostril,From the opposing X the water will run out and into the sink.,19,From the opposing nostril the water will run out and into the sink.,67,opposing nostril,0,0.000,
14,paddle,We looked for the missing X all day but couldn't find it.,27,We looked for the missing paddle all day but couldn't find it.,62,missing paddle,1,0.998,-0.001
15,parcel,There was a large X on her doorstep when she got home.,19,There was a large parcel on her doorstep when she got home.,59,large parcel,21,20.966,1.322
16,plaque,Choosing the right X to buy is not quite easy.,20,Choosing the right plaque to buy is not quite easy.,51,right plaque,1,0.998,-0.001
17,platoon,Those in the first X were the ones who get hurt the worst.,20,Those in the first platoon were the ones who get hurt the worst.,64,first platoon,57,56.908,1.755
18,prophet,In centuries no other X had managed to unite them as he did.,23,In centuries no other prophet had managed to unite them as he did.,66,other prophet,7,6.989,0.844
19,recruit,His recent favourite X was a tall muscular boy named Peter.,22,His recent favourite recruit was a tall muscular boy named Peter.,65,favourite recruit,0,0.000,
20,resource,It's an amazing X for young students interested in biology.,17,It's an amazing resource for young students interested in biology.,66,amazing resource,30,29.952,1.476
21,rhythm,It has a real X that you can easily dance to.,15,It has a real rhythm that you can easily dance to.,50,real rhythm,5,4.992,0.698
22,school,Linda always disliked X when it was sunny outside.,23,Linda always disliked school when it was sunny outside.,55,disliked school,3,2.995,0.476
23,sphere,At home their X of influence drew them all in.,15,At home their sphere of influence drew them all in.,51,their sphere,78,77.875,1.891
24,spinach,The look of the brownish X didn't appeal to him at all.,26,The look of the brownish spinach didn't appeal to him at all.,61,brownish spinach,0,0.000,
25,sponge,A large square X sat on the side of the kitchen sink.,16,A large square sponge sat on the side of the kitchen sink.,58,square sponge,1,0.998,-0.001
26,surprise,I hope your X isn't going to be spoiled.,13,I hope your surprise isn't going to be spoiled.,47,your surprise,106,105.830,2.025
27,synagogue,No doubt this X has the most beautiful exterior.,15,No doubt this synagogue has the most beautiful exterior.,56,this synagogue,22,21.965,1.342
28,theorem,This is an impossible X for us to prove in a traditional way.,23,This is an impossible theorem for us to prove in a traditional way.,67,impossible theorem,0,0.000,
29,throne,The small wooden X for the prince sat at the head of his table.,18,The small wooden throne for the prince sat at the head of his table.,68,wooden throne,7,6.989,0.844
30,trumpet,A badly broken X lay in the middle of the deserted stage.,16,A badly broken trumpet lay in the middle of the deserted stage.,63,broken trumpet,0,0.000,
31,vehicle,It's definitely a great X for a large family.,25,It's definitely a great vehicle for a large family.,51,great vehicle,43,42.931,1.633
32,yellow,Yesterday he declared X alerts for several areas.,23,Yesterday he declared yellow alerts for several areas.,54,declared yellow,0,0.000,
33,romantics,He always criticised X around him who couldn't think clearly.,22,He always criticised romantics who weren't thinking clearly.,60,criticised romantics,0,0.000,
34,sanity,Let's bring some X back into this debate.,18,Let's bring some sanity back into this debate.,46,some sanity,99,98.841,1.995
35,acidity,You can increase X by adding lemon juice to the mixture.,18,You can increase acidity by adding lemon juice to the mixture.,62,increase acidity,4,3.994,0.601
36,audible,It was almost X how excited she was at the news.,15,It was almost audible how excited she was at the news.,54,almost audible,25,24.960,1.397
37,density,We're at the right X to not float away into space.,20,We're at the right density to not float away into space.,56,right density,5,4.992,0.698
38,furious,Brian was clearly X about the grade he got for his final exam.,19,Brian was clearly furious about the grade he got for his final exam.,68,clearly furious,10,9.984,0.999
39,nervous,With an increasingly X energy she ran faster and faster.,22,With an increasingly nervous energy she ran faster and faster.,62,increasingly nervous,55,54.912,1.740
40,signals,He continued to display X on the side of the field to motivate players.,25,He continued to display signals on the side of the field to motivate players.,77,display signals,1,0.998,-0.001
41,soloist,The only X in the orchestra was a violin player.,10,The only soloist in the orchestra was a violin player.,54,only soloist,1,0.998,-0.001
42,zealous,Some people are more X than others at church.,22,Some people are more zealous than others at church.,51,more zealous,48,47.923,1.681
43,bandages,There were clean X left on the floor of the hospital.,18,There were clean bandages left on the floor of the hospital.,60,clean bandages,4,3.994,0.601
44,eruption,Witnessing a sudden X is both scary and exciting.,21,Witnessing a sudden eruption is both scary and exciting.,56,sudden eruption,18,17.971,1.255
45,firmness,He showed the same X with his children as with his soldiers.,20,He showed the same firmness with his children as with his soldiers.,67,same firmness,5,4.992,0.698
46,fortress,She told us about the black X on a hill above all the land.,29,She told us about the black fortress on a hill above all the land.,66,black fortress,2,1.997,0.300
47,genetics,Due to your particular X you have an increased risk of cancer.,24,Due to your particular genetics you have an increased risk of cancer.,69,particular genetics,0,0.000,
48,glorious,We really have X weather today with this sun.,16,We really have glorious weather today with this sun.,52,have glorious,12,11.981,1.078
49,gracious,My mother was always X with her house guests.,22,My mother was always gracious with her house guests.,52,always gracious,37,36.940,1.568
50,pianists,She wanted three X in the concert but only two arrived.,18,She wanted three pianists in the concert but only two arrived.,62,three pianists,1,0.998,-0.001
51,sculptor,Charles was the only X to have understood what I wanted.,22,Charles was the only sculptor to have understood what I wanted.,63,only sculptor,1,0.998,-0.001
52,violence,If you promote X then it might be used on you too.,16,If you promote violence then it might be used on you too.,57,promote violence,58,57.907,1.763
53,dignified,We need to develop X human rights laws for refugees.,20,We need to develop dignified human rights laws for refugees.,60,develop dignified,0,0.000,
54,greatness,Make your way towards X by pushing yourself to be better.,23,Make your way towards greatness by pushing yourself to be better.,65,towards greatness,5,4.992,0.698
55,sensitive,The Arctic Ocean is more X to changes in climate.,26,The Arctic Ocean is more sensitive to changes in climate.,57,more sensitive,2179,2175.495,3.338
56,vigilance,I appreciate your ongoing X in getting the truth out there.,27,I appreciate your ongoing vigilance in getting the truth out there.,67,ongoing vigilance,4,3.994,0.601
57,european,Half of the recent X car sales are reported to be electric cars.,20,Half of the recent european car sales are reported to be electric cars.,71,recent european,73,72.883,1.863
58,historic,What an excitingly X setting for the last race of the season.,20,What an excitingly historic setting for the last race of the season.,68,excitingly historic,0,0.000,
59,humidity,I think higher X feels worse than having higher temperatures.,16,I think higher humidity feels worse than having higher temperatures.,68,higher humidity,38,37.939,1.579
60,jealousy,They displayed a certain X over Audrey's sudden freedom.,26,They displayed a certain jealousy over Audrey's sudden freedom.,63,certain jealousy,4,3.994,0.601
61,northern,It's located between X Spain and the south of France.,22,It's located between northern Spain and the south of France.,60,between northern,117,116.812,2.067
62,vastness,The snowy white X of the North Pole makes it difficult to survive.,17,The snowy white vastness of the North Pole makes it difficult to survive.,73,white vastness,2,1.997,0.300
63,asthmatic,He quickly became X and had trouble breathing.,19,He quickly became asthmatic and had trouble breathing.,54,became asthmatic,1,0.998,-0.001
64,luxurious,Sasha definitely had X tastes when it came to desserts.,22,Sasha definitely had luxurious tastes when it came to desserts.,63,had luxurious,5,4.992,0.698
